FullAddress,CommunityName ,PropertyID,CountyState,Risk,HousingCompany,PrivateEquityFirm,Units,YearAcquired,Fannie/Freddie,PropertyType,Latitude,Longitude,,
"10201 Riverdale Rd Thornton,CO 80229",Pine Lakes Ranch,CO-Pine Lakes Ranch-10201,"Adams, CO",Relatively Moderate,RHP Properties (RHP),RHP Properties,762,N/A,No,Manufactured Housing,39.880961,-104.938279,Keel Team,46
"216 Southfork Blvd Wylie,TX 75098",Southfork,TX-Southfork-216,"Collin, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,746,2014,Fannie Mae,Manufactured Housing,33.029114,-96.589546,,
"8930 146th Ave West Olive,MI 49460",West Olive Estates,MI-West Olive Estates-8930,"Ottawa, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,741,2018,Freddie Mac,Manufactured Housing,42.930976,-86.146827,,
"2737 Washington Center Rd Fort Wayne,IN 46818",Ridgebrook Hills,IN-Ridgebrook Hills-2737,"Allen, IN",Relatively Moderate,Sunrise Communities,Sunrise Communities,738,2021,Fannie Mae,Manufactured Housing,41.132162,-85.175038,,
"1434 Fallcreek Drive Mishwaka,IN 46544",Village Green,IN-Village Green-1434,"St. Joseph, IN",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,734,2018,Freddie Mac,Manufactured Housing,41.648169,-86.153811,,
"400 N Plaza Dr Apache Junction,AZ",Lost Dutchman RV Resort,AZ-Lost Dutchman RV Resort-400,"Pinal, AZ",Relatively Moderate,The Carlyle Group,The Carlyle Group,730,N/A,N/A,Manufactured Housing,33.419485,-111.552781,,
"19376 US Hwy 41 N North Ft Myers,FL 33903",Tara Woods,FL-Tara Woods-19376,"Lee, FL",Relatively High,Hometown America,Calzada Capital Partners,729,2013,No,Manufactured Housing,26.662958,-81.88605,,
"41875 Carousel St Novi,MI 48377",Oakland Glens,MI-Oakland Glens-41875,"Oakland, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,725,2023,Fannie Mae,Manufactured Housing,42.514256,-83.461198,,
"7930 Audubon Ave Alexandria,VA 22306",Audubon Estates,VA-Audubon Estates-7930,"Fairfax, VA",Relatively High,Hometown America,Calzada Capital Partners,701,2003,Freddie Mac,Manufactured Housing,38.742434,-77.090098,,
"11848 Calvary Rd Willis,TX 77318",Rockrose Ranch,TX-Rockrose Ranch-11848,"Montgomery, TX",Relatively High,Inspire Communities,Apollo Global Management,700,2021,No,Manufactured Housing,30.470307,-95.534016,,
"2551 W 92nd Ave Federal Heights,CO 80260",Kimberly Hills,CO-Kimberly Hills-2551,"Adams, CO",Relatively Moderate,Kingsley Management,Kingsley Management,686,N/A,N/A,Manufactured Housing,39.864781,-105.017633,,
"450 Chillon Drive Lynwood,IL 60411",Alpine Village,IL-Alpine Village-450,"Cook, IL",Very High,Inspire Communities,Apollo Global Management,677,2002,Freddie Mac,Manufactured Housing,41.500655,-87.528278,,
"8403 Millnockett Ln Orlando,FL 32825",Shadow Hills,FL-Shadow Hills-8403,"Orange, FL",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,671,2017,No,Manufactured Housing,28.562135,-81.27311,,
"4509 Longmeadow Blvd W Saginaw,MI 48603",Lawndale Estates,MI-Lawndale Estates-4509,"Saginaw, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,667,2018,Freddie Mac,Manufactured Housing,43.473216,-84.040469,,
"8403 Millinockett Ln Orlando,FL 32825",Shadow Hills,FL-Shadow Hills-8403,"Orange, FL",Relatively High,Brookfield,,665,2017,N/A,Manufactured Housing,28.562135,-81.27311,,
"7061 Bethuy Rd Fair Haven,MI 48023",The Shores of Anchor Bay,MI-The Shores of Anchor Bay-7061,"St. Clair, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,659,2018,Fannie Mae,Manufactured Housing,42.690289,-82.704941,,
"1199 East Santa Fe Street Gardner,KS 66030",Conestoga,KS-Conestoga-1199,"Johnson, KS",Relatively High,Windward Communities,Green Courte Partners,659,N/A,No,Manufactured Housing,38.805923,-94.898372,,
"6151 Forest Hill Blvd West Palm Beach,FL",Casa Del Monte,FL-Casa Del Monte-6151,"Palm Beach, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,657,2003,N/A,Manufactured Housing,26.653713,-80.140031,,
"3231 Timmins Rd Muskegon,MI 49444",Norton Shores,MI-Norton Shores-3231,"Muskegon, MI",Relatively Low,Yes! Communities,Stockbridge Capital Group,656,2022,Freddie Mac,Manufactured Housing,43.193931,-86.212259,,
"6 Bear Creek Path Ormond Beach,FL 32174",Bear Creek Village,FL-Bear Creek Village-6,"Volusia, FL",Relatively High,Cove Communities,Montgomery Street Partners,646,2022,No,Manufactured Housing,29.307251,-81.103264,,
"10960 Beach Boulevard Jacksonville,FL 32246",Countryside Village,FL-Countryside Village-10960,"Duval, FL",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,643,N/A,No,Manufactured Housing,30.279975,-81.539378,,
"10960 Beach Boulevard Jacksonville,FL 32246",Countryside Village,FL-Countryside Village -10960,"Duval, FL",Relatively High,RHP Properties (RHP),RHP Properties,643,N/A,No,Manufactured Housing,30.279975,-81.539378,,
"10701 US Hwy 41 Leesburg,FL 34788",Lakes at Leesburg,FL-Lakes at Leesburg-10701,"Lake, FL",Relatively Moderate,Hometown America,Calzada Capital Partners,640,N/A,Freddie Mac,Manufactured Housing,28.888724,-81.782704,,
"508 East Howard Lane Austin,TX 78753",Dessau Fountain Estates,TX-Dessau Fountain Estates -508,"Travis, TX",Relatively High,RHP Properties (RHP),RHP Properties,638,N/A,Fannie Mae,Manufactured Housing,30.414555,-97.653101,,
"301 Beach St Edwardsville,KS 66113",Edwardsville Village,KS-Edwardsville Village-301,"Wyandotte, KS",Relatively Moderate,RHP Properties (RHP),RHP Properties,634,2017,Fannie Mae,Manufactured Housing,39.058648,-94.82212,,
"11701 Stagecoach Rd Little Rock,AR 72210",Knollwood Mobile Home Park,AR-Knollwood Mobile Home Park-11701,"Pulaski, AR",Relatively High,Riverstone Communities,Riverstone Capital Partners,633,2007,No,Manufactured Housing,34.647689,-92.438168,,
"999 Mango Dr Cassselberry,FL 32707",Summerloch Green,FL-Summerloch Green-999,"Seminole, FL",Relatively Moderate,The Carlyle Group,The Carlyle Group,633,2017,No,Manufactured Housing,28.689077,-81.323936,,
"7927 Forest Hills Rd Loves Park,IL 61111",Forest Hills Village MHC,IL-Forest Hills Village MHC-7927,"Winnebago, IL",Relatively Moderate,Kingsley Management,Kingsley Management,632,N/A,N/A,Manufactured Housing,42.339237,-89.01826,,
"4590 Troy Highway Montgomery,AL 36116",Evergreen Estates,AL-Evergreen Estates-4590,"Montgomery, AL",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,627,2016,Fannie Mae,Manufactured Housing,32.309756,-86.22086,,
"26270 I-30 Alexander,AR 72002",Knollwood,AR-Knollwood-26270,"Saline, AR",Relatively Low,Riverstone Communities,Riverstone Capital Partners,624,2009,No,Manufactured Housing,34.64191,-92.445853,,
"508 44th Ave E Bradenton,FL 34203",Village on the Green,FL-Village on the Green-508,"Manatee, FL",Relatively High,Legacy Communities,Legacy Communities,624,N/A,N/A,Manufactured Housing,27.459615,-82.561157,,
"6837 NE Cubitis Ave Arcadia,FL",Cross Creek Country Club Resort,FL-Cross Creek Country Club Resort-6837,"Desoto, FL",Relatively Moderate,Treehouse Communities,,622,N/A,N/A,Manufactured Housing,27.290997,-81.830456,,
"75 Briarwood Trail Monroe,MI 48161",Oakridge Estates,MI-Oakridge Estates-75,"Monroe, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,621,N/A,Fannie Mae,Manufactured Housing,41.891791,-83.409664,,
"1711 E Business Hwy 83 Mission,TX 78572",Mission Bell & Trade Winds Resort,TX-Mission Bell & Trade Winds Resort-1711,"Hidalgo, TX",Relatively High,Impact Communities,MHP Funds,620,N/A,No,Manufactured Housing,26.211447,-98.298626,,
"4377 Old Plank Rd Millford,MI 48381",Childs Lake Estates,MI-Childs Lake Estates-4377,"Oakland, MI",Relatively High,Kingsley Management,Kingsley Management,619,N/A,Fannie Mae,Manufactured Housing,42.532413,-83.57228,,
"2889 Sandpiper Lane Rochester Hills,MI 48309",Avon on the Lake,MI-Avon on the Lake-2889,"Oakland, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,617,N/A,Fannie Mae,Manufactured Housing,42.635811,-83.18383,,
"14001 Beach Blvd Jacksonville,FL 32250",Portside at the Beaches,FL-Portside at the Beaches-14001,"Duval, FL",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,612,2017,No,Manufactured Housing,30.295345,-81.450715,,
"6837 Northeast Cubitis Avenue Arcadia,FL 34266",Cross Creek RV Resot,FL-Cross Creek RV Resot-6837,"Desoto, FL",Relatively Moderate,Treehouse Communities,The Blackstone Group,612,2017,Fannie Mae,Manufactured Housing,27.290997,-81.830456,,
"5374 E Deadwood Drive Kalamazoo,MI 49002",Colonial Acres,MI-Colonial Acres-5374,"Kalamazoo, MI",Relatively Moderate,Cambio Communities,Silver Creek Capital,612,N/A,No,Manufactured Housing,42.240308,-85.54113,,
"420 Pittsburg Landing Summerville,SC 29483",Wind Gate,SC-Wind Gate-420,"Berkeley, SC",Relatively High,Yes! Communities,Stockbridge Capital Group,602,2012,Fannie Mae,Manufactured Housing,33.039017,-80.08535,,
"4000 Hollywood Blvd Melbourne,FL 32904",Lakes of Melbourne,FL-Lakes of Melbourne-4000,"Brevard, FL",Relatively High,Hometown America,Calzada Capital Partners,602,N/A,No,Manufactured Housing,28.04568,-80.661515,,
"10540 E Apache Trail Apache Junction,AZ 85120",Rosehaven Estates,AZ-Rosehaven Estates-10540,"Maricopa, AZ",Very High,Treehouse Communities,The Blackstone Group,600,2018,Fannie Mae,Manufactured Housing,33.415899,-111.60289,,
"9098 N Saginaw Rd Mt Morris,MI 48458",North Morris Estates,MI-North Morris Estates-9098,"Genesee, MI",Relatively Moderate,Homes of America,Alden Global Capital,598,N/A,No,Manufactured Housing,43.138878,-83.690988,,
"22971 Suburban Blvd Lewes,DE 19958",Angola Beach Estates,DE-Angola Beach Estates-22971,"Sussex, DE",Relatively Moderate,Hometown America,Calzada Capital Partners,595,2009,Freddie Mac,Manufactured Housing,38.670828,-75.166687,,
"6201 Bert Kouns Industrial Loop Shreveport,LA 71129",Forest Mobile Estates,LA-Forest Mobile Estates-6201,"Caddo, LA",Relatively Moderate,Homes of America,Alden Global Capital,589,2021,No,Manufactured Housing,32.395228,-93.87238,,
"3671 Candlelight Drive Columbus,IN 47203",Candlelight Village,IN-Candlelight Village-3671,"Bartholomew, IN",Relatively Low,Yes! Communities,Stockbridge Capital Group,587,2020,Freddie Mac,Manufactured Housing,39.240607,-85.891937,,
"2109 N Abbey Circle Peoria,IL 61604",Royal Oaks Estates,IL-Royal Oaks Estates-2109,"Peoria, IL",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,585,2018,No,Manufactured Housing,40.7132,-89.646695,,
"4000 Ace Lane Lewisville,TX 75067",Creekside,TX-Creekside-4000,"Denton, TX",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,583,2017,No,Manufactured Housing,32.996395,-97.016879,,
"1661 Old Country Road Riverhead,NY 11901",Glenwood Village,NY-Glenwood Village -1661,"Suffolk, NY",Relatively High,Hometown America,Calzada Capital Partners,580,2024,No,Manufactured Housing,40.924542,-72.699275,,
"16336 SW Indianwood Circle Indiantown,FL 34956",Indianwood Golf and Country Club,FL-Indianwood Golf and Country Club-16336,"Martin, FL",Relatively Moderate,Legacy Communities,Legacy Communities,580,N/A,N/A,Manufactured Housing,27.029648,-80.476792,,
"701 S. Dobson Rd. Mesa,AZ 85202",Holiday Village,AZ-Holiday Village-701,"Maricopa, AZ",Very High,RHP Properties (RHP),RHP Properties,578,N/A,Freddie Mac,Manufactured Housing,33.403901,-111.872875,,
"1800 Preston on the Lake Little Elm,TX 75068",Preston on the Lake,TX-Preston on the Lake-1800,"Denton, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,575,2008,Fannie Mae,Manufactured Housing,33.162716,-96.908229,,
"4065 E University Dr Mesa,AZ 85205",Citrus Gardens,AZ-Citrus Gardens-4065,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,575,2020,No,Manufactured Housing,33.421164,-111.742875,,
"5710 N Belleview Ave Kansas City,MO 64118",Lakeview Terrace,MO-Lakeview Terrace-5710,"Clay, MO",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,565,2019,Freddie Mac,Manufactured Housing,39.200007,-94.591742,,
"25501 Trost Blvd Bonita Springs,FL 34135",Citrus Park,FL-Citrus Park-25501,"Lee, FL",Relatively High,The Carlyle Group,The Carlyle Group,563,2019,No,Manufactured Housing,26.370757,-81.750629,,
"6392 Plastermill Rd Victor,NY 14564",Gypsum Mills,NY-Gypsum Mills-6392,"Ontario, NY",Relatively Low,Horizon Land Company,Federal Capital Partners,562,N/A,Fannie Mae,Manufactured Housing,42.983837,-77.377535,,
"3232 S Clifton Ave Wichita,KS 67216",The Towneship at Clifton,KS-The Towneship at Clifton-3232,"Sedgwick, KS",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,552,2017,No,Manufactured Housing,37.62709,-97.293885,,
"1207 Rushmore Blvd Indianapolis,IN 46234",West Glen Village,IN-West Glen Village-1207,"Marion, IN",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,552,2017,No,Manufactured Housing,39.784854,-86.32358,,
"46000 Geddes Rd Canton,MI 48188",Holiday Estates,MI-Holiday Estates-46000,"Wayne, MI",Relatively High,Cambio Communities,Silver Creek Capital,551,2021,Fannie Mae,Manufactured Housing,42.277434,-83.491096,,
"12250 Woodland Ridge Circle South Lyon,MI 48178",Woodland Ridge,MI-Woodland Ridge-12250,"Livingston, MI",Relatively Low,Windward Communities,Green Courte Partners,544,2022,Fannie Mae,Manufactured Housing,42.442995,-83.704349,,
"10825 Rawsonville Rd Belleville,MI 48111",Rawsonville Woods,MI-Rawsonville Woods-10825,"Wayne, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,535,2018,Fannie Mae,Manufactured Housing,42.130511,-83.540217,,
"401 N Timberline Fort Collins,CO 80524",Collins Aire,CO-Collins Aire-401,"Larimer, CO",Relatively Moderate,Crow Holdings,Crow Holdings Capital - Real Estate,535,2022,No,Manufactured Housing,40.594055,-105.033032,,
"401 N. Timberline Rd Fort Collins,CO 80524",Collins Aire MHP,CO-Collins Aire MHP-401,"Larimer, CO",Relatively Moderate,Legacy Communities,Legacy Communities,535,N/A,N/A,Manufactured Housing,40.594055,-105.033032,,
"6300 Queensbury Blvd Sarasota,FL 34241",Camelot East Village,FL-Camelot East Village-6300,"Sarasota, FL",Relatively High,Cove Communities,Montgomery Street Partners,534,2018,No,Manufactured Housing,27.270727,-82.445442,,
"5700 Camelot Lakes Parkway Sarasota,FL 34233",Camelot Lakes Village,FL-Camelot Lakes Village-5700,"Sarasota, FL",Relatively High,Cove Communities,Montgomery Street Partners,534,2018,No,Manufactured Housing,27.275541,-82.454541,,
"6830 E N Ave Kalamazoo,MI 49048",Pavilion Estates,MI-Pavilion Estates-6830,"Kalamazoo, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,531,2018,Freddie Mac,Manufactured Housing,42.241292,-85.498618,,
"3200 Chippewa Lane Council Bluffs,IA 51501",The Grove at Council Bluffs MHC,IA-The Grove at Council Bluffs MHC-3200,"Pottawattamie, IA",Relatively Low,Horizon Land Company,Federal Capital Partners,526,2021,No,Manufactured Housing,41.227101,-95.872762,,
"21707 B Street Rehoboth Beach,DE 19971",Rehoboth Bay,DE-Rehoboth Bay-21707,"Sussex, DE",Relatively Moderate,Hometown America,Calzada Capital Partners,525,2013,Fannie Mae,Manufactured Housing,38.690193,-75.128261,,
"12401 W Okeechobee Rd Hialeah,FL 33018",Courtly Manor MH,FL-Courtly Manor MH-12401,"Miami-Dade, FL",Very High,Treehouse Communities,The Blackstone Group,525,2021,Fannie Mae,Manufactured Housing,25.886683,-80.365493,,
"7051 Daniel Dr Stockbridge,GA 30281",Deer Creek Mobile Home Park,GA-Deer Creek Mobile Home Park-7051,"Clayton, GA",Relatively Moderate,Riverstone Communities,Riverstone Capital Partners,525,2021,Fannie Mae,Manufactured Housing,33.561664,-84.267093,,
"9442 Noonan St Dubuque,IA 52003",Table Mound MHP,IA-Table Mound MHP-9442,"Dubuque, IA",Relatively Low,Impact Communities,MHP Funds,525,N/A,Freddie Mac,Manufactured Housing,42.454656,-90.674503,,
"225 Club Drive Fayetteville,GA 30214",Kenwod Landing,GA-Kenwod Landing-225,"Fayette, GA",Relatively Low,Yes! Communities,Stockbridge Capital Group,524,2013,Freddie Mac,Manufactured Housing,33.523058,-84.564275,,
"2100 W 100th Ave Thornton,CO 80260",Friendly Village of Rockies,CO-Friendly Village of Rockies-2100,"Adams, CO",Relatively Moderate,Kingsley Management,Kingsley Management,524,N/A,N/A,Manufactured Housing,39.877667,-105.015133,,
"246 Wonderland Dr Alton,IL 62002",Enchanted Village,IL-Enchanted Village-246,"Madison, IL",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,521,2017,No,Manufactured Housing,38.919311,-90.100053,,
"3200 King Ave W Billings,MT 59102",Golden Meadows,MT-Golden Meadows-3200,"Yellowstone, MT",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,520,N/A,Fannie Mae,Manufactured Housing,45.753454,-108.604585,,
"5309 Highway 75 North Sioux City,IA 51108",Evergreen Village,IA-Evergreen Village-5309,"Woodbury, IA",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,519,2020,Freddie Mac,Manufactured Housing,42.560005,-96.34079,,
"1598 US 31 South Greenwood,IN 46143",Greenwood Estates,IN-Greenwood Estates -1598,"Johnson, IN",Relatively Low,RHP Properties (RHP),RHP Properties,517,N/A,Freddie Mac,Manufactured Housing,39.59391,-86.10325,,
"1 Chisholm Trail Mooresville,IN 46158",Mooresville Acres,IN-Mooresville Acres-1,"Morgan, IN",Relatively Low,Horizon Land Company,Federal Capital Partners,511,N/A,No,Manufactured Housing,39.543229,-86.375721,,
"4359 Dogwood Blvd Clarkston,MI",Sashabaw Meadows,MI-Sashabaw Meadows-4359,"Oakland, MI",Relatively High,Havenpark Communities,Havenpark Capital Partners,511,N/A,N/A,Manufactured Housing,42.796792,-83.364949,,
"6359 Bells Ferry Rd Acworth,GA 30102",Hidden Falls,GA-Hidden Falls-6359,"Cherokee, GA",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,506,2013,Freddie Mac,Manufactured Housing,34.10268,-84.58092,,
"5720 East Washington Rd Saginaw,MI 48601",Robin Glen,MI-Robin Glen-5720,"Saginaw, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,505,2021,Freddie Mac,Manufactured Housing,43.450138,-83.842282,,
"2692 NE Highway 70 Arcadia,FL 34266",Arcadia Village,FL-Arcadia Village-2692,"Desoto, FL",Relatively Moderate,Legacy Communities,Legacy Communities,505,2025,N/A,Manufactured Housing,27.210968,-81.829505,,
"16971 Sleepy Hollow Blvd Holly,MI 48442",Oak Hill Estates,MI-Oak Hill Estates-16971,"Oakland, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,504,2020,Freddie Mac,Manufactured Housing,42.786612,-83.512003,,
"10425 Middle Ave Elyria,OH 44035",Colonial Oaks,OH-Colonial Oaks-10425,"Lorain, OH",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,504,N/A,Freddie Mac,Manufactured Housing,41.337963,-82.105325,,
"6300 West Adams Bellville,MI 48111",American Presidential Estates,MI-American Presidential Estates-6300,"Wayne, MI",Relatively High,Sunrise Communities,Sunrise Communities,503,2024,N/A,Manufactured Housing,42.198724,-83.540684,,
"10470 Dixie Hwy Fair Haven,MI 48023",Admirals Cove,MI-Admirals Cove-10470,"St. Clair, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,500,2022,No,Manufactured Housing,42.688655,-82.707545,,
"10454 Central Ave NE Blaine,MN 55434",Blaine International Village,MN-Blaine International Village-10454,"Anoka, MN",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,500,2021,Fannie Mae,Manufactured Housing,45.159965,-93.236303,,
"200 Willow Lane McDonough,GA 30253",Audubon Estates,GA-Audubon Estates-200,"Henry, GA",Relatively Low,Treehouse Communities,The Blackstone Group,497,2017,Fannie Mae,Manufactured Housing,33.434607,-84.182133,,
"3020 S. Powers Blvd. Colorado Springs,CO 80916",Canterbury Park,CO-Canterbury Park -3020,"El Paso, CO",Relatively Moderate,RHP Properties (RHP),RHP Properties,496,N/A,No,Manufactured Housing,38.792746,-104.730808,,
"2060 N Center St Mesa,AZ 85201",Vista del Sol,AZ-Vista del Sol-2060,"Maricopa, AZ",Very High,Havenpark Communities,Havenpark Capital Partners,493,2023,Fannie Mae,Manufactured Housing,33.453344,-111.835042,,
"23 Thomas Lane Chaska,MN 55318",Brandondale Manufactured Housing Community,MN-Brandondale Manufactured Housing Community-23,"Carver, MN",Relatively Low,Havenpark Communities,Havenpark Capital Partners,493,2021,Fannie Mae,Manufactured Housing,44.806026,-93.589756,,
"2 Primrose Lane Brunswick,ME 04011",Bay Bridge Estates,ME-Bay Bridge Estates-2,"Cumberland, ME",Relatively Low,Legacy Communities,Legacy Communities,493,N/A,N/A,Manufactured Housing,43.934062,-69.878662,,
