FullAddress,CommunityName ,PropertyID,CountyState,Risk,HousingCompany,PrivateEquityFirm,Units,YearAcquired,Fannie/Freddie,PropertyType,Latitude,Longitude,,
"5200 Shawcrest Rd Wildwood,NJ 08260",Shawcrest Community,NJ-Shawcrest Community-5200,"Cape May, NJ",Relatively Moderate,Legacy Communities,Legacy Communities,317,N/A,Fannie Mae,Manufactured Housing,38.99121,-74.838657,,
"1100 Estates Lane Melbourne,FL 32934",The Meadows,FL-The Meadows-1100,"Brevard, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,316,2006,No,Manufactured Housing,28.124313,-80.702413,,
"250 SE Laurel St Waukee,IA 50263",MIdwest Country Estates,IA-MIdwest Country Estates-250,"Dallas, IA",Relatively Low,Havenpark Communities,Havenpark Capital Partners,316,2019,Fannie Mae,Manufactured Housing,41.611963,-93.863592,,
"1100 Estates Lane Melbourne,FL 32934",Meadows Mobile Home Park,FL-Meadows Mobile Home Park-1100,"Brevard, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,316,2006,Fannie Mae,Manufactured Housing,28.124313,-80.702413,,
"2 Chesapeake Estates Thomasville,PA 17364",Thomasville Commons,PA-Thomasville Commons -2,"York, PA",Relatively Moderate,RHP Properties (RHP),RHP Properties,316,N/A,No,Manufactured Housing,39.937788,-76.857836,,
"7781 Mountain View Dr Frederick,CO 85030",Prairie Greens,CO-Prairie Greens-7781,"Weld, CO",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,315,2018,No,Manufactured Housing,40.090908,-104.928238,,
"800 Lexington Norman,OK 73069",Lexington Crossing,OK-Lexington Crossing-800,"Cleveland, OK",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,315,2008,Fannie Mae,Manufactured Housing,35.239447,-97.452624,,
"3707 W Pine Lakes Drive Prescott,AZ 86305",Pine Lakes,AZ-Pine Lakes-3707,"Yavapai, AZ",Relatively Moderate,Hometown America,Calzada Capital Partners,315,2013,No,Manufactured Housing,34.573507,-112.527313,,
"1700 S Scott Blvd Iowa City,IA 63102",Modern Manor,IA-Modern Manor-1700,"Johnson, IA",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,314,2022,No,Manufactured Housing,41.642556,-91.48241,,
"19 Pool House Lane Rehoboth Beach,DE 19971",Colonial East,DE-Colonial East -19,"Sussex, DE",Relatively Moderate,RHP Properties (RHP),RHP Properties,314,N/A,No,Manufactured Housing,38.733893,-75.134663,,
"4 Candlelight Dr Sauk Village,IL",Candlelight Village,IL-Candlelight Village-4,"Cook, IL",Very High,Bridge Investment Group,,313,2025,N/A,Manufactured Housing,41.502269,-87.559947,,
"6854 SE Morningside Dr Stuart,FL 34997",Pinelake Gardens,FL-Pinelake Gardens-6854,"Martin, FL",Relatively Moderate,Hometown America,Calzada Capital Partners,311,2009,No,Manufactured Housing,27.120518,-80.193178,,
"6539 Townsend Rd Jacksonville,FL 32244",Country Roads,FL-Country Roads-6539,"Duval, FL",Relatively High,Inspire Communities,Apollo Global Management,311,2019,Fannie Mae,Manufactured Housing,30.219221,-81.750648,,
"5200 28th Street N St. Petersburg,FL 33714",Sawgrass Trails,FL-Sawgrass Trails-5200,"Pinellas, FL",Relatively High,The Carlyle Group,The Carlyle Group,311,2018,Freddie Mac,Manufactured Housing,27.817807,-82.672549,,
"16800 Lohr Rd Belleville,MI 48111",Van Buren Estates,MI-Van Buren Estates-16800,"Wayne, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,310,2020,Fannie Mae,Manufactured Housing,42.177595,-83.517733,,
"1400 S Collyer St Longmort,CO 80501",Countryside Village Longmont,CO-Countryside Village Longmont-1400,"Boulder, CO",Relatively Moderate,RHP Properties (RHP),RHP Properties,310,2017,Fannie Mae,Manufactured Housing,40.140224,-105.093764,,
"9800 Joliet Road Countryside,IL 60525",Country Club Woods,IL-Country Club Woods -9800,"Cook, IL",Very High,RHP Properties (RHP),RHP Properties,310,N/A,No,Manufactured Housing,41.781276,-87.862565,,
"1616 Pennsylvania Ave Vineland,NJ 8361",Berryman's Branch,NJ-Berryman's Branch-1616,"Cumberland, NJ",Relatively Moderate,Hometown America,Calzada Capital Partners,309,2003,No,Manufactured Housing,39.43355,-74.999379,,
"5701 Dundrum St North Charleston,SC 29418",Dorchester Village,SC-Dorchester Village-5701,"Charleston, SC",Relatively High,Horizon Land Company,Federal Capital Partners,309,2014,No,Manufactured Housing,32.861847,-80.053245,,
"1900 SE 28th Street Grimes,IA 50111",Park View,IA-Park View -1900,"Polk, IA",Relatively Moderate,RHP Properties (RHP),RHP Properties,309,N/A,Fannie Mae,Manufactured Housing,41.665755,-93.772856,,
"5418 Country Club Rd Greensboro,NC 27405",Woodlake ,NC-Woodlake -5418,"Guilford, NC",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,308,2020,Fannie Mae,Manufactured Housing,35.972704,-79.792031,,
"9191 Bay Pines Blvd St. Petersburg,FL 33708",Harbor Lights Club,FL-Harbor Lights Club-9191,"Pinellas, FL",Relatively High,Treehouse Communities,The Blackstone Group,308,2018,Fannie Mae,Manufactured Housing,27.81398,-82.767675,,
"3900 W Prospect Rd Fort Lauderdale,FL 33309",The Village Mobile Home Park,FL-The Village Mobile Home Park-3900,"Broward, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,307,2015,Freddie Mac,Manufactured Housing,26.192063,-80.201064,,
"3900 W Prospect Rd North Lauderdale,FL 33309",The Village Mobile Home Park,FL-The Village Mobile Home Park-3900,"Broward, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,307,2015,N/A,Manufactured Housing,26.192063,-80.201064,,
"918 Reed Canal Rd ,FL 32119",Lakeview Estates MHP,FL-Lakeview Estates MHP-918,"Volusia, FL",Relatively High,Legacy Communities,Legacy Communities,307,N/A,N/A,Manufactured Housing,29.15923,-81.020816,,
"317 S Higley Rd Mesa,AZ 85206",Mesa Shadows,AZ-Mesa Shadows-317,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,306,2020,No,Manufactured Housing,33.409657,-111.71892,,
"5300 E. Desert Inn Rd. Las Vegas,NV 89122",River Oaks,NV-River Oaks -5300,"Clark, NV",Very High,RHP Properties (RHP),RHP Properties,306,N/A,No,Manufactured Housing,36.131579,-115.058744,,
"1200 W Highland Rd Highland,MI 48357",Highland Hills,MI-Highland Hills-1200,"Oakland, MI",Relatively High,Cambio Communities,Silver Creek Capital,306,2023,Fannie Mae,Manufactured Housing,42.646628,-83.630354,,
"205 S Higley Rd Mesa,AZ",Mesa Shadows Mobile Home Park,AZ-Mesa Shadows Mobile Home Park-205,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,306,N/A,N/A,Manufactured Housing,33.409519,-111.718275,,
"411 River Bay Drive Tampa,FL 33619",River Bay,FL-River Bay-411,"Hillsborough, FL",Relatively High,Yes! Communities,Stockbridge Capital Group,305,2023,Fannie Mae,Manufactured Housing,27.946379,-82.376233,,
"4 Canary Ct Fenton,MO 63026",Ravinia Estates,MO-Ravinia Estates-4,"Jefferson, MO",Relatively Moderate,Homes of America,Alden Global Capital,305,2022,No,Manufactured Housing,38.457384,-90.449388,,
"37272 Grays Lane Selbyville,DE 19975",Shady Park,DE-Shady Park -37272,"Sussex, DE",Relatively Moderate,RHP Properties (RHP),RHP Properties,305,N/A,No,Manufactured Housing,38.472968,-75.098266,,
"23379 Island Dr New Boston,MI 48164",Swan Creek,MI-Swan Creek-23379,"Wayne, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,304,N/A,Fannie Mae,Manufactured Housing,42.13335,-83.419183,,
"2801 South Stone Rd Marion,IN 46953",Stonecrest Manor,IN-Stonecrest Manor -2801,"Grant, IN",Relatively Low,RHP Properties (RHP),RHP Properties,304,N/A,Fannie Mae,Manufactured Housing,40.536288,-85.624242,,
"400 Winchester Trails Goshen,IN 46526",Winchester Trails,IN-Winchester Trails-400,"Elkhart, IN",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,303,2022,Freddie Mac,Manufactured Housing,41.543365,-85.821212,,
"4400 W Missouri Ave Glendale,AZ 85301",Grand Missouri Mobile Home Park,AZ-Grand Missouri Mobile Home Park-4400,"Maricopa, AZ",Very High,Treehouse Communities,The Blackstone Group,303,2019,Freddie Mac,Manufactured Housing,33.516995,-112.154748,,
"1704 Martin Luther King Blvd Killeen,TX 76543",Elm Grove Estates,TX-Elm Grove Estates-1704,"Bell, TX",Relatively Moderate,Inspire Communities,Apollo Global Management,303,N/A,No,Manufactured Housing,31.095095,-97.690849,,
"2017 Shirewood Drive Shelby Township,MI 48317",Dequindre Estates,MI-Dequindre Estates-2017,"Macomb, MI",Relatively High,Havenpark Communities,Havenpark Capital Partners,303,2020,Fannie Mae,Manufactured Housing,42.652972,-83.090612,,
"14470 E 13TH AVE
 Aurora,CO 80011",The Meadows,CO-The Meadows-14470,"Arapahoe, CO",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,303,N/A,No,Manufactured Housing,39.734456,-104.81951,,
"3001 Cabana Drive Las Vegas,NV 89122",Valley Vista,NV-Valley Vista -3001,"Clark, NV",Very High,RHP Properties (RHP),RHP Properties,303,N/A,No,Manufactured Housing,36.134719,-115.057803,,
"1100 Thornwood Dr SW Heath,OH 43056",Ramp Creek,OH-Ramp Creek-1100,"Licking, OH",Relatively Low,Open Management,Open Capital,303,N/A,N/A,Manufactured Housing,40.020574,-82.48015,,
"5150 Taff Rd Clay Township,MI 48001",Channel View,MI-Channel View-5150,"St. Clair, MI",Relatively Moderate,Cambio Communities,Silver Creek Capital,303,N/A,Fannie Mae,Manufactured Housing,42.875292,-82.520634,,
"100 Plantation Hill Rd Mableton,GA 30126",The Waverly,GA-The Waverly-100,"Paulding, GA",Relatively Low,Yes! Communities,Stockbridge Capital Group,302,2021,Fannie Mae,Manufactured Housing,34.0443,-84.742366,,
"2515 Cumberland Rd Grand Forks,ND 58201",Columbia Heights,ND-Columbia Heights-2515,"Grand Forks, ND",Relatively Low,Yes! Communities,Stockbridge Capital Group,302,2016,Fannie Mae,Manufactured Housing,47.899731,-97.063597,,
"8985 Normandy Boulevard Jacksonville,FL 32221",Normandy Estates,FL-Normandy Estates-8985,"Duval, FL",Relatively High,Inspire Communities,Apollo Global Management,302,2019,Fannie Mae,Manufactured Housing,30.288474,-81.801878,,
"7145 S Meridian St Marion,IN 46953",White Oaks,IN-White Oaks-7145,"Grant, IN",Relatively Low,Inspire Communities,Apollo Global Management,302,2021,No,Manufactured Housing,40.482432,-85.650965,,
"3100 South Kinney Rd Tucson,AZ 85713",Western Way,AZ-Western Way-3100,"Pima, AZ",Relatively High,Treehouse Communities,The Blackstone Group,302,N/A,Fannie Mae,Manufactured Housing,32.185812,-111.09432,,
"8504 Jen Rue Lane Ooltewah,TN 37363",Grindstone Estates,TN-Grindstone Estates-8504,"Hamilton, TN",Relatively Moderate,Horizon Land Company,Federal Capital Partners,302,N/A,No,Manufactured Housing,35.06463,-85.028744,,
"3300 E Broadway Rd Mesa,AZ 85204",Castillo Nuevo Mobile Community,AZ-Castillo Nuevo Mobile Community-3300,"Maricopa, AZ",Very High,The Carlyle Group,The Carlyle Group,302,2018,Freddie Mac,Manufactured Housing,33.409929,-111.760815,,
"7085 Bloomfield Rd Des Moines,IA 50320",Regency Manor,IA-Regency Manor-7085,"Polk, IA",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,301,2012,Freddie Mac,Manufactured Housing,41.520874,-93.58319,,
"399 Joseph Way Tarpon Springs,FL 34689",The Meadows,FL-The Meadows-399,"Pinellas, FL",Relatively High,Cove Communities,Montgomery Street Partners,301,N/A,No,Manufactured Housing,28.168649,-82.760487,,
"8201 S Santa Fe Drive Littleton,CO 80120",Wolfhurst,CO-Wolfhurst-8201,"Arapahoe, CO",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,301,2024,Freddie Mac,Manufactured Housing,39.56718,-105.033347,,
"26125 US Highway 27 Leesburg,FL",Ridgecrest Resort MHC,FL-Ridgecrest Resort MHC-26125,"Lake, FL",Relatively Moderate,Treehouse Communities,,301,N/A,N/A,Manufactured Housing,28.727956,-81.865379,,
"49645 Au Lac Dr E Chesterfield,MI 48051",Fairchild Lake,MI-Fairchild Lake-49645,"Macomb, MI",Relatively High,Yes! Communities,Stockbridge Capital Group,300,N/A,Fannie Mae,Manufactured Housing,42.666029,-82.856032,,
"2775 Cathedral Dr Tallahassee,FL 32310",Lake Bradford Estates Mobile Home Park,FL-Lake Bradford Estates Mobile Home Park-2775,"Leon, FL",Relatively Moderate,Homes of America,Alden Global Capital,300,2021,No,Manufactured Housing,30.406278,-84.326812,,
"1000 Louisville St Starkville,MS 39759",The Pines,MS-The Pines-1000,"Oktibbeha, MS",Relatively Low,Inspire Communities,Apollo Global Management,300,2021,No,Manufactured Housing,33.445851,-88.824962,,
"5801 Redwood Blvd Fort Worth,TX 76119",Redwood Estates,TX-Redwood Estates-5801,"Tarrant, TX",Relatively High,Inspire Communities,Apollo Global Management,300,2021,No,Manufactured Housing,32.67268,-97.246932,,
"1444 Salter Path Rd Indian Beach,NC 28512",Paradise Bay,NC-Paradise Bay-1444,"Carteret, NC",Relatively Moderate,Horizon Land Company,Federal Capital Partners,300,N/A,Fannie Mae,Manufactured Housing,34.687426,-76.891621,,
"1203 Baker Lane Winchester,VA 22603",Arcadia Crossing,VA-Arcadia Crossing-1203,"Frederick, VA",Relatively Low,Horizon Land Company,Federal Capital Partners,300,2021,No,Manufactured Housing,39.197078,-78.138904,,
"950 SE Serendipity Place Crystal River,FL 34429",Crystal River Village,FL-Crystal River Village-950,"Citrus, FL",Relatively High,Legacy Communities,Legacy Communities,300,N/A,N/A,Manufactured Housing,28.884191,-82.578119,,
"120 Tuckahoe Rd Buena,NJ 8310",Cranberry Run,NJ-Cranberry Run-120,"Atlantic, NJ",Relatively Moderate,Legacy Communities,Legacy Communities,300,N/A,N/A,Manufactured Housing,39.511739,-74.924987,,
"3700 Autumn Forest Dr Brown Summit,NC 27214",Autumn Forest,NC-Autumn Forest-3700,"Guilford, NC",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,299,2021,Fannie Mae,Manufactured Housing,36.201652,-79.720614,,
"3529 McConnnell Rd Greensboro,NC 27405",McConnell Crossing,NC-McConnell Crossing-3529,"Guilford, NC",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,299,N/A,Fannie Mae,Manufactured Housing,36.062673,-79.707779,,
"2525 Shiloh Rd Tyler,TX 75703",Shiloh Pines,TX-Shiloh Pines-2525,"Smith, TX",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,299,2013,Fannie Mae,Manufactured Housing,32.294251,-95.26889,,
"500 Cheyenne Blvd Madison,TN 37115",Old Hickory,TN-Old Hickory-500,"Davidson, TN",Relatively High,Inspire Communities,Apollo Global Management,299,N/A,No,Manufactured Housing,36.259913,-86.675972,,
"3201 Hawthorn Drive Jackson,MI 49201",Walnut Ridge,MI-Walnut Ridge-3201,"Jackson, MI",Relatively Low,Windward Communities,Green Courte Partners,299,2018,Freddie Mac,Manufactured Housing,42.292586,-84.446118,,
"420 E 57th St Loveland,CO 80538",Lago Vista,CO-Lago Vista-420,"Larimer, CO",Relatively Moderate,Crow Holdings,Crow Holdings Capital - Real Estate,299,144,No,Manufactured Housing,40.449184,-105.071735,,
"10610 E State Route 762 Lockbourne,OH 43137",Buckeye Trails,OH-Buckeye Trails-10610,"Pickaway, OH",Relatively Low,Havenpark Communities,Havenpark Capital Partners,298,2020,Fannie Mae,Manufactured Housing,39.77776,-82.948032,,
"9231 Mariwood Pkwy Indianapolis,IN 46234",Mariwood,IN-Mariwood-9231,"Marion, IN",Relatively High,Yes! Communities,Stockbridge Capital Group,296,2018,Fannie Mae,Manufactured Housing,39.772395,-86.322998,,
"6988 Mckean Ypsilanti,MI 48197",Swan Creek,MI-Swan Creek-6988,"Washtenaw, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,294,N/A,Fannie Mae,Manufactured Housing,42.18726,-83.555603,,
"9359 103rd St Jacksonville,FL 32210",Woodland Estates,FL-Woodland Estates-9359,"Duval, FL",Relatively High,Yes! Communities,Stockbridge Capital Group,293,2014,Freddie Mac,Manufactured Housing,30.251565,-81.813482,,
"6008 Moeller Rd. Fort Wayne,IN 46806",Cedarwood Trails,IN-Cedarwood Trails -6008,"Allen, IN",Relatively Moderate,RHP Properties (RHP),RHP Properties,293,N/A,Fannie Mae,Manufactured Housing,41.05472,-85.062632,,
"1 Gaslight Dr. North North Fond Du Lac,WI 54937",Lighthouse Pointe,WI-Lighthouse Pointe -1,"Fond Du Lac, WI",Relatively Low,RHP Properties (RHP),RHP Properties,293,N/A,No,Manufactured Housing,43.799454,-88.477742,,
"4515 34th St Moline,IL 61265",Cloverleaf Village,IL-Cloverleaf Village-4515,"Rock Island, IL",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,292,2016,No,Manufactured Housing,41.468421,-90.491053,,
"6812 Randol Mill Rd Fort Worth,TX 76120",Summit Oaks,TX-Summit Oaks-6812,"Tarrant, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,292,2013,Fannie Mae,Manufactured Housing,32.77677,-97.207824,,
"3941 Charleston Highway West West Columbia,SC 29172",Rolling Meadows,SC-Rolling Meadows-3941,"Lexington, SC",Relatively Moderate,Inspire Communities,Apollo Global Management,292,2018,Fannie Mae,Manufactured Housing,33.8844,-81.045148,,
"961 S Reynolds Toledo,OH 43615",Reynolds Senior Village,OH-Reynolds Senior Village-961,"Lucas, OH",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,291,2017,Freddie Mac,Manufactured Housing,41.622692,-83.663789,,
"27 Robin Hood Dr Greenville,OH 45331",27 Robin Hood Dr,OH-27 Robin Hood Dr-27,"Darke, OH",Relatively Low,MHC Capital,MHC Capital,291,2019,N/A,Manufactured Housing,40.054154,-84.604157,,
"5535 Dysart Rd Waterloo,IA 50701",Cedar Knoll,IA-Cedar Knoll-5535,"Black Hawk, IA",Relatively Low,Yes! Communities,Stockbridge Capital Group,290,2012,Fannie Mae,Manufactured Housing,42.433716,-92.29547,,
"360 E Tuttle Rd Ionia,MI 48846",Canterbury Estates,MI-Canterbury Estates-360,"Ionia, MI",Relatively Low,Yes! Communities,Stockbridge Capital Group,290,2007,Freddie Mac,Manufactured Housing,42.950997,-85.066081,,
"1402 West Ajo Way Tucson,AZ 85713",Mesa Ridge,AZ-Mesa Ridge-1402,"Pima, AZ",Relatively High,RHP Properties (RHP),RHP Properties,290,2017,No,Manufactured Housing,32.180385,-110.997333,,
"2500 Centennial Rd Bismarck,ND 58503",Centennial Park,ND-Centennial Park-2500,"Burleigh, ND",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,290,2022,Fannie Mae,Manufactured Housing,46.835839,-100.73367,,
"100 Redwood Drive Oakdale,PA 15071",Redwood Estates,PA-Redwood Estates -100,"Allegheny, PA",Relatively High,RHP Properties (RHP),RHP Properties,290,N/A,Freddie Mac,Manufactured Housing,40.445514,-80.214804,,
"16108 US Hwy 19 Hudson,FL 34667",Winter Paradise,FL-Winter Paradise -16108,"Pasco, FL",Relatively High,RHP Properties (RHP),RHP Properties,290,N/A,No,Manufactured Housing,28.391533,-82.666742,,
"2835 S. Wagner Ann Arbor,MI 48103",Orchard Grove,MI-Orchard Grove -2835,"Washtenaw, MI",Relatively Moderate,RHP Properties (RHP),RHP Properties,290,N/A,No,Manufactured Housing,42.243669,-83.797477,,
"292 South Drive Westfield,IN 46074",North Glen Village,IN-North Glen Village-292,"Hamilton, IN",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,289,2023,Fannie Mae,Manufactured Housing,40.052003,-86.134303,,
"1240 North Cowan Ave Lewisville,TX 75057",Village North,TX-Village North-1240,"Denton, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,289,2008,Fannie Mae,Manufactured Housing,33.061756,-96.998132,,
"319 Seven Oaks Lane Lothian,MD 20711",Wayson Woods,MD-Wayson Woods -319,"Anne Arundel, MD",Relatively Moderate,RHP Properties (RHP),RHP Properties,289,N/A,No,Manufactured Housing,38.813675,-76.700328,,
"830 Campbell St Lebanon,IN 46502",Hoosier Estates,IN-Hoosier Estates-830,"Boone, IN",Relatively Low,Yes! Communities,Stockbridge Capital Group,288,N/A,No,Manufactured Housing,40.055147,-86.485389,,
"5515 118th St Jacksonville,FL 32244",Ortega Village,FL-Ortega Village-5515,"Duval, FL",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,288,2017,No,Manufactured Housing,30.236893,-81.725939,,
"33 Claroma Dr St. Cloud,MN 56301",Bel Clare Estates,MN-Bel Clare Estates-33,"Stearns, MN",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,288,2023,Fannie Mae,Manufactured Housing,45.523005,-94.26094,,
"7534 US-60 Republic,MO 65738",Alpine Village,MO-Alpine Village-7534,"Greene, MO",Relatively Moderate,Open Management,Open Capital,287,N/A,N/A,Manufactured Housing,37.137832,-93.444538,,
"4075 Holt Rd Holt,MI 48842",Delhi Manor,MI-Delhi Manor-4075,"Ingham, MI",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,286,2018,Fannie Mae,Manufactured Housing,42.639996,-84.505881,,
"12400 Rojas Dr El Paso,TX 79928",Mission Estates,TX-Mission Estates-12400,"El Paso, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,286,2013,Fannie Mae,Manufactured Housing,31.701958,-106.274018,,
"7151 Woodlake Pkwys San Antonio,TX 78218",Woodlake Estates,TX-Woodlake Estates-7151,"Bexar, TX",Relatively High,Yes! Communities,Stockbridge Capital Group,286,2008,Fannie Mae,Manufactured Housing,29.496323,-98.360126,,
"Hunts Park Rd Farmington,NY 14425",Hunt's MHC,NY-Hunt's MHC-Hunts,"Ontario, NY",Relatively Low,Horizon Land Company,Federal Capital Partners,286,N/A,Fannie Mae,Manufactured Housing,42.990694,-77.367359,,
"3701 Second St Coralville,IA 52241",Western Hills Mobile Estates,IA-Western Hills Mobile Estates-3701,"Johnson, IA",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,286,2019,Fannie Mae,Manufactured Housing,41.703738,-91.629424,,
"2701 34th St N St. Petersburg,FL 33713",Pelican Palms,FL-Pelican Palms-2701,"Pinellas, FL",Relatively High,"Crow Holdings,Legacy Communities","Crow Holdings Capital - Real Estate,Legacy Communities",286,2024,No,Manufactured Housing,27.796378,-82.678141,,
"2701 34th Street North St. Petersburg,FL 33713",Pelican Palms Village,FL-Pelican Palms Village-2701,"Pinellas, FL",Relatively High,Legacy Communities,Legacy Communities,286,N/A,N/A,Manufactured Housing,27.796378,-82.678141,,
"507 East Spaulding St Lafayette,CO 80026",Arbordale Acres,CO-Arbordale Acres-507,"Boulder, CO",Relatively Moderate,Kingsley Management,Kingsley Management,286,N/A,N/A,Manufactured Housing,39.991492,-105.084883,,
"1938 Garden Rd Pearland,TX 77581",Raintree Estates,TX-Raintree Estates-1938,"Brazoria, TX",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,285,2008,Fannie Mae,Manufactured Housing,29.574843,-95.321427,,
"1020 Sistrunk St Atlantic Beach,FL 32223",Oaks of Atlantic Beach,FL-Oaks of Atlantic Beach-1020,"Duval, FL",Relatively High,Yes! Communities,Stockbridge Capital Group,284,2008,No,Manufactured Housing,30.365866,-81.41902,,
"702 Cambridge Ln Fenton,MO 63026",Chancellor Farms,MO-Chancellor Farms-702,"Jefferson, MO",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,284,2021,Freddie Mac,Manufactured Housing,38.471016,-90.4553,,
"1330 N Patterson Rd Wayland,MI 49348",Yankee Springs Meadows,MI-Yankee Springs Meadows-1330,"Barry, MI",Relatively Low,Yes! Communities,Stockbridge Capital Group,284,2018,Fannie Mae,Manufactured Housing,42.672518,-85.544737,,
"43400 Lenfesty Drive Harrison Township,MI 48045",Willow Point,MI-Willow Point-43400,"Macomb, MI",Relatively High,Inspire Communities,Apollo Global Management,284,2012,Fannie Mae,Manufactured Housing,42.613248,-82.85859,,
"5100 Orange Ave Port Orange,FL",Tanglewood Mobile Estates,FL-Tanglewood Mobile Estates-5100,"Volusia, FL",Relatively High,The Carlyle Group,The Carlyle Group,284,N/A,N/A,Manufactured Housing,29.129591,-80.985564,,
"1908 East 19th St Lawrence,KS 66046",Brookwood,KS-Brookwood-1908,"Douglas, KS",Relatively Low,Yes! Communities,Stockbridge Capital Group,283,2020,Fannie Mae,Manufactured Housing,38.951716,-95.209459,,
"104 Aspen Ave NE Buffalo,MN 55313",Buffalo Manor,MN-Buffalo Manor-104,"Wright, MN",Relatively Low,Horizon Land Company,Federal Capital Partners,283,2018,No,Manufactured Housing,45.17402,-93.856365,,
"755 Stelzer Rd Columbus,OH 43219",Stelzer Gardens,OH-Stelzer Gardens-755,"Franklin, OH",Relatively High,Impact Communities,MHP Funds,283,N/A,Freddie Mac,Manufactured Housing,39.989757,-82.91924,,
"7901 South Council Rd Oklahoma City,OK 73169",Westmoor,OK-Westmoor-7901,"Oklahoma, OK",Relatively High,Yes! Communities,Stockbridge Capital Group,282,2012,Fannie Mae,Manufactured Housing,35.387753,-97.654174,,
"2601 Amherst Rd Knoxville,TN 37921",Amherst Ridge,TN-Amherst Ridge-2601,"Knox, TN",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,281,2008,Fannie Mae,Manufactured Housing,35.963411,-84.045578,,
"11819 North College Ave Kansas City,MO 64156",Northland,MO-Northland-11819,"Clay, MO",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,281,2017,Fannie Mae,Manufactured Housing,39.307585,-94.53877,,
"7070 Daffodil Drive Brooksville,FL 34601",Southway Villa,FL-Southway Villa-7070,"Hernando, FL",Relatively Moderate,Legacy Communities,Legacy Communities,281,N/A,N/A,Manufactured Housing,28.530386,-82.404285,,
"11819 N College Ave Kansas CIty,MO 64156",Northland,MO-Northland-11819,"Clay, MO",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,281,2017,N/A,Manufactured Housing,39.307585,-94.53877,,
"1201 N Main St La Feria,TX 78559",Kenwood,TX-Kenwood-1201,"Cameron, TX",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,280,2017,No,Manufactured Housing,26.167542,-97.824541,,
"3731 South Glenstone Ave Springfield,MO 65804",Ozark Highlands,MO-Ozark Highlands-3731,"Greene, MO",Relatively Moderate,Inspire Communities,Apollo Global Management,280,2021,No,Manufactured Housing,37.146449,-93.257838,,
"Keaton Rd S Sanger,TX 76266",Stonewood Ranch,TX-Stonewood Ranch-Keaton,"Denton, TX",Relatively High,Havenpark Communities,Havenpark Capital Partners,280,2022,No,Manufactured Housing,33.355403,-97.185023,,
"1501 E Bismarck Expy Bismarck,ND 58504",Colonial Estates,ND-Colonial Estates-1501,"Burleigh, ND",Relatively Moderate,Havenpark Communities,Havenpark Capital Partners,280,2019,Fannie Mae,Manufactured Housing,46.794118,-100.770032,,
"2601 Grand Ave Kearney,NE 68847",Valley View,NE-Valley View-2601,"Buffalo, NE",Relatively Low,Impact Communities,MHP Funds,280,N/A,Freddie Mac,Manufactured Housing,40.700863,-99.063226,,
"3617 N Grand Ave Springfield,IL 62702",Cottonwood Cove,IL-Cottonwood Cove-3617,"Sangamon, IL",Relatively Moderate,Cambio Communities,Silver Creek Capital,280,N/A,No,Manufactured Housing,39.74782,-89.667544,,
"4211 W Roosevelt St Phoenix,AZ 85009",Capri Mobile Home Park,AZ-Capri Mobile Home Park-4211,"Maricopa, AZ",Very High,Riverstone Communities,Riverstone Capital Partners,279,2020,Freddie Mac,Manufactured Housing,33.458253,-112.149195,,
